data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;6737;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1190;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6688;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IOW9622;M. BENZ;OF 1722M;2008-07-08;2008;DIESEL
2021-05-30 02:00:54.782021;6776;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQD9605;M. BENZ;O-500M;2009-09-29;2009;DIESEL
2021-05-30 02:00:54.782021;6743;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IUL6140;M. BENZ;O-500M;2013-06-25;2012;DIESEL
2021-05-30 02:00:54.782021;6667;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISI8942;M. BENZ;OF 1722;2011-10-05;2011;DIESEL
2021-05-30 02:00:54.782021;6671;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISI8957;M. BENZ;OF 1722;2011-10-05;2011;DIESEL
2021-05-30 02:00:54.782021;3517;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IXC1056;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6142;AUTO VIACAO NAVEGANTES LTDA;IXC1738;M. BENZ;OF 1721;2016-02-16;2015;DIESEL
2021-05-30 02:00:54.782021;6129;AUTO VIACAO NAVEGANTES LTDA;ITP9658;M. BENZ;OF 1721;2012-10-16;2012;DIESEL
2021-05-30 02:00:54.782021;6629;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC0918;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;4336;VIACAO ESTORIL LTDA;IXC3097;M. BENZ;O-500M;2016-02-18;2015;DIESEL
2021-05-30 02:00:54.782021;6156;AUTO VIACAO NAVEGANTES LTDA;IPK1700;M. BENZ;OF 1722M;2008-12-23;2008;DIESEL
2021-05-30 02:00:54.782021;6187;AUTO VIACAO NAVEGANTES LTDA;ISV4429;M. BENZ;O-500M;2012-03-11;2011;DIESEL
2021-05-30 02:00:54.782021;6128;AUTO VIACAO NAVEGANTES LTDA;IZO5J85;M. BENZ;OF 1721L;2019-09-25;2019;DIESEL
